post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Cierrapuertas aéreo ISEO IS20",cierrapuertas-aereo-iseo-is20,,1106,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,ISEO,0|1|0
"Cierrapuertas de piso MAB Serie 7100",cierrapuertas-piso-mab-7100,,1107,,,simple,,"Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,MAB,0|1|0
"Herraje AC 2",herraje-ac-2,,1108,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,,
"Herraje AC 8",herraje-ac-8,,1109,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Cierrapuertas",,,,,,,,,,
"Cierre manilla 607",cierre-manilla-607,,1110,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Cierres manillas",,,,,,,,,,
"Cierre Manilla MC",cierre-manilla-mc,,1111,,,simple,,"Accesorios puertas y ventanas > Cierres manillas",,,5309,0|1|0,,,,,,
"Cierre Manilla Udinese 6735",cierre-manilla-udinese-6735,,1112,,,simple,,"Accesorios puertas y ventanas > Cierres manillas",,,,,,,,,,
"Cierre Manilla Udinese 735",cierre-manilla-udinese-735,,1113,,,simple,,"Accesorios puertas y ventanas > Cierres manillas",,,,,,,,,,
"Cierre Central",cierre-central,,1114,,,simple,,"Accesorios puertas y ventanas|Accesorios puertas y ventanas > Cierres para correderas",,,3142,0|1|0,,,,,Udinese,1|1|0
"Cierre embutido Eco 267i",cierre-eco-267i,,1115,,,simple,,"Accesorios puertas y ventanas > Cierres para correderas",,,4255,0|1|0,,,,,,
"Cierre embutido Star 247i",cierre-star-247i,,1116,,,simple,,"Accesorios puertas y ventanas > Cierres para correderas",,,2471,0|1|0,,,,,,
"Cierre embutido HT E-25",cierre-ht-e25,,1117,,,simple,,"Accesorios puertas y ventanas > Cierres para correderas",,,,,"3061, 3062, 3067, 3060",0|1|0,,,,
"Manilla para cremona 608",manilla-cremona-608,,1118,,,simple,,"Accesorios puertas y ventanas > Cierres para correderas",,,,,"608N 608B",0|1|0,,,,
